timestamp,policy_win,policy_loss,policy_draw,value_estimate
2026-06-21 16:57:27,-4.1002975,0.32518387,0.033162147,5.8455057
2026-06-21 16:57:27,-4.399573,0.50091225,0.166688,5.7281427
2026-06-21 16:57:27,-4.7102857,0.6714041,0.28495243,5.579883
2026-06-21 16:57:27,-5.0216317,0.83928573,0.39926985,5.4269753
2026-06-21 16:57:27,-5.3329782,1.0071676,0.5135875,5.274068
2026-06-21 16:57:27,-5.640736,1.1742653,0.6221907,5.1283617
2026-06-21 16:57:27,-5.9584823,1.0646603,0.6861539,5.1383514
2026-06-21 16:57:27,-6.2715106,1.2310568,0.7883601,4.9950542
2026-06-21 16:57:27,-6.578647,1.4091097,0.8812666,4.8334694
2026-06-21 16:57:27,-6.8970146,1.6183398,0.93786764,4.713421
2026-06-21 16:57:27,-7.227757,1.8277376,0.9857819,4.606198
2026-06-21 16:57:27,-7.570578,2.0372996,1.0252175,4.511494
2026-06-21 16:57:27,-7.9133983,2.2468615,1.0646532,4.41679
2026-06-21 16:57:27,-8.143326,1.8192238,1.2235594,4.542341
2026-06-21 16:57:27,-8.542593,2.3473854,1.2032595,4.337509
2026-06-21 16:59:55,-4.1002975,0.32518387,0.033162147,5.8455057
2026-06-21 16:59:55,-4.399573,0.50091225,0.166688,5.7281427
2026-06-21 16:59:55,-4.7102857,0.6714041,0.28495243,5.579883
2026-06-21 16:59:55,-5.0216317,0.83928573,0.39926985,5.4269753
2026-06-21 16:59:55,-5.3329782,1.0071676,0.5135875,5.274068
2026-06-21 16:59:55,-5.640736,1.1742653,0.6221907,5.1283617
2026-06-21 16:59:55,-5.9584823,1.0646603,0.6861539,5.1383514
2026-06-21 16:59:55,-6.2715106,1.2310568,0.7883601,4.9950542
2026-06-21 16:59:55,-6.578647,1.4091097,0.8812666,4.8334694
2026-06-21 16:59:55,-6.8970146,1.6183398,0.93786764,4.713421
2026-06-21 16:59:55,-7.227757,1.8277376,0.9857819,4.606198
2026-06-21 16:59:55,-7.570578,2.0372996,1.0252175,4.511494
2026-06-21 16:59:55,-7.9133983,2.2468615,1.0646532,4.41679
2026-06-21 16:59:55,-8.143326,1.8192238,1.2235594,4.542341
2026-06-21 16:59:55,-8.542593,2.3473854,1.2032595,4.337509
2026-06-21 17:06:31,-4.1002975,0.32518387,0.033162147,5.8455057
2026-06-21 17:06:31,-4.399573,0.50091225,0.166688,5.7281427
2026-06-21 17:06:31,-4.7102857,0.6714041,0.28495243,5.579883
2026-06-21 17:06:31,-5.0216317,0.83928573,0.39926985,5.4269753
2026-06-21 17:06:31,-5.3329782,1.0071676,0.5135875,5.274068
2026-06-21 17:06:31,-5.640736,1.1742653,0.6221907,5.1283617
2026-06-21 17:06:31,-5.9328704,0.7918562,0.6780393,5.283641
2026-06-21 17:06:31,-6.2715106,1.2310568,0.7883601,4.9950542
2026-06-21 17:06:31,-6.558929,1.1246494,0.8824525,4.9970465
2026-06-21 17:06:31,-6.872474,1.3001727,0.97520566,4.856618
2026-06-21 17:06:31,-7.190842,1.5094026,1.031806,4.7365694
2026-06-21 17:06:31,-7.5141306,1.7186999,1.0849519,4.6216216
2026-06-21 17:06:31,-7.856951,1.9282614,1.124388,4.5269175
2026-06-21 17:06:31,-8.096864,1.500759,1.2762842,4.662818
2026-06-21 17:06:31,-8.486147,2.0287857,1.2629948,4.4476366
2026-06-21 17:07:23,-4.1002975,0.32518387,0.033162147,5.8455057
2026-06-21 17:07:23,-4.399573,0.50091225,0.166688,5.7281427
2026-06-21 17:07:23,-4.7102857,0.6714041,0.28495243,5.579883
2026-06-21 17:07:23,-5.0216317,0.83928573,0.39926985,5.4269753
2026-06-21 17:07:23,-5.3329782,1.0071676,0.5135875,5.274068
2026-06-21 17:07:23,-5.640736,1.1742653,0.6221907,5.1283617
2026-06-21 17:07:23,-5.9328704,0.7918562,0.6780393,5.283641
2026-06-21 17:07:23,-6.2715106,1.2310568,0.7883601,4.9950542
2026-06-21 17:07:23,-6.558929,1.1246494,0.8824525,4.9970465
2026-06-21 17:07:23,-6.872474,1.3001727,0.97520566,4.856618
2026-06-21 17:07:23,-7.190842,1.5094026,1.031806,4.7365694
2026-06-21 17:07:23,-7.5141306,1.7186999,1.0849519,4.6216216
2026-06-21 17:07:23,-7.856951,1.9282614,1.124388,4.5269175
2026-06-21 17:07:23,-8.096864,1.500759,1.2762842,4.662818
2026-06-21 17:07:23,-8.486147,2.0287857,1.2629948,4.4476366
2026-06-21 17:08:15,-4.1002975,0.32518387,0.033162147,5.8455057
2026-06-21 17:08:15,-4.399573,0.50091225,0.166688,5.7281427
2026-06-21 17:08:15,-4.7102857,0.6714041,0.28495243,5.579883
2026-06-21 17:08:15,-5.0216317,0.83928573,0.39926985,5.4269753
2026-06-21 17:08:15,-5.3329782,1.0071676,0.5135875,5.274068
2026-06-21 17:08:15,-5.640736,1.1742653,0.6221907,5.1283617
2026-06-21 17:08:15,-5.9328704,0.7918562,0.6780393,5.283641
2026-06-21 17:08:15,-6.2715106,1.2310568,0.7883601,4.9950542
2026-06-21 17:08:15,-6.558929,1.1246494,0.8824525,4.9970465
2026-06-21 17:08:15,-6.872474,1.3001727,0.97520566,4.856618
