2026-06-20 04:13:55,1,0.34297946095466614,1.0,0.0,0.0
2026-06-20 04:14:00,2,0.5855273008346558,1.0,0.0,0.0
2026-06-20 04:14:04,3,0.5621551275253296,1.0,0.0,0.0
2026-06-20 04:14:09,4,0.06818181276321411,1.0,0.0,0.0
2026-06-20 04:14:14,5,0.005206827539950609,1.0,0.0,0.0
2026-06-20 04:14:18,6,0.24537605047225952,1.0,0.0,0.0
2026-06-20 04:14:23,7,0.20706990361213684,1.0,0.0,0.0
2026-06-20 04:14:28,8,0.010903049260377884,1.0,0.0,0.0
2026-06-20 04:14:32,9,0.0045384918339550495,1.0,0.0,0.0
2026-06-20 04:14:37,10,0.04975719749927521,1.0,0.0,0.0
2026-06-20 04:14:41,11,0.0939343124628067,1.0,0.0,0.0
2026-06-20 04:14:46,12,0.02017209865152836,1.0,0.0,0.0
2026-06-20 04:14:51,13,0.48496124148368835,1.0,0.0,0.0
2026-06-20 04:14:55,14,0.165827214717865,1.0,0.0,0.0
2026-06-20 04:15:00,15,0.00010236624075332657,1.0,0.0,0.0
2026-06-20 04:15:05,16,0.03524693846702576,1.0,0.0,0.0
2026-06-20 04:15:09,17,0.005307587794959545,1.0,0.0,0.0
2026-06-20 04:15:14,18,0.2478295862674713,1.0,0.0,0.0
2026-06-20 04:15:18,19,0.013935917057096958,1.0,0.0,0.0
2026-06-20 04:15:23,20,0.09584322571754456,1.0,0.0,0.0
2026-06-20 04:15:28,21,0.0005530891357921064,1.0,0.0,0.0
2026-06-20 04:15:32,22,0.1859494298696518,1.0,0.0,0.0
2026-06-20 04:15:37,23,0.026203852146863937,1.0,0.0,0.0
2026-06-20 04:15:42,24,0.05676165595650673,1.0,0.0,0.0
2026-06-20 04:15:46,25,0.45996779203414917,1.0,0.0,0.0
2026-06-20 04:15:51,26,0.16855232417583466,1.0,0.0,0.0
2026-06-20 04:15:56,27,0.007284120190888643,1.0,0.0,0.0
2026-06-20 04:16:00,28,0.35107162594795227,1.0,0.0,0.0
2026-06-20 04:16:05,29,0.2682109475135803,1.0,0.0,0.0
2026-06-20 04:16:10,30,0.020916996523737907,1.0,0.0,0.0
2026-06-20 04:16:14,31,0.9602329730987549,1.0,0.0,0.0
